time,REE_open,REE_high,REE_low,REE_close,REE_volume,FMC_open,FMC_high,FMC_low,FMC_close,FMC_volume,DHC_open,DHC_high,DHC_low,DHC_close,DHC_volume
2024-10-07,65.6,66.38,64.91,64.91,525314,46.9,46.95,46.35,46.5,30200,36.09,36.48,36.09,36.19,69569
2024-10-08,65.2,65.4,64.51,64.71,421215,46.5,47.25,46.5,47.25,36200,36.19,36.24,36.09,36.14,119016
2024-10-09,64.71,64.71,64.41,64.71,520281,47.3,47.65,46.8,47.25,36300,36.14,36.34,36.14,36.19,64103
2024-10-10,64.71,65.0,64.51,64.61,662405,47.35,47.95,47.3,47.45,52700,36.39,36.39,36.09,36.14,88004
2024-10-11,64.81,65.2,64.51,64.71,639222,47.55,48.2,47.55,47.65,71000,36.19,36.19,35.95,36.0,182537
2024-10-14,65.6,65.69,64.81,65.0,412849,47.8,48.65,47.8,48.1,15000,36.19,36.19,35.9,36.0,80948
2024-10-15,65.0,65.3,64.31,64.31,373611,48.1,48.4,47.8,48.0,44100,36.0,36.05,35.75,35.8,95290
2024-10-16,64.12,64.61,63.72,64.02,424100,48.4,48.5,47.85,48.2,15300,35.61,35.85,35.56,35.71,55180
2024-10-17,64.02,64.31,63.92,64.02,336606,48.05,49.0,47.9,48.0,18600,35.66,35.85,35.56,35.56,49555
2024-10-18,64.02,64.61,63.92,63.92,288718,48.0,48.45,48.0,48.15,36700,35.8,35.8,35.32,35.32,65715
2024-10-21,63.82,63.92,63.13,63.23,381578,47.95,47.95,47.1,47.45,48600,35.37,35.71,35.37,35.56,390369
2024-10-22,63.13,63.23,62.14,62.24,641849,47.45,47.45,46.4,46.4,84500,35.51,35.75,34.98,35.32,184790
2024-10-23,62.14,62.64,62.04,62.44,373224,46.8,46.8,46.0,46.0,29000,35.32,35.37,35.12,35.12,78172
2024-10-24,62.44,62.64,62.14,62.64,457866,45.5,46.2,45.5,45.75,32500,35.17,35.27,33.13,33.13,286801
2024-10-25,63.03,63.03,62.14,62.14,271438,45.75,47.2,45.75,45.9,73400,33.52,33.86,33.03,33.47,347160
2024-10-28,62.34,62.64,62.04,62.44,285878,45.8,46.0,45.3,45.7,24900,33.57,33.57,33.28,33.47,107719
2024-10-29,62.44,63.72,62.34,63.72,561516,45.9,45.9,45.6,45.75,17600,33.47,33.91,33.37,33.71,138173
2024-10-30,64.02,64.31,63.82,64.12,644230,46.0,46.2,45.7,46.1,29400,33.91,34.3,33.81,34.3,162976
2024-10-31,63.82,63.92,61.75,63.23,392046,46.0,46.0,45.8,45.8,7500,34.39,34.69,34.3,34.59,149122
2024-11-01,63.13,63.13,61.16,61.16,3433664,45.8,46.0,44.9,45.75,26700,34.59,34.59,34.05,34.1,48709
2024-11-04,61.45,63.23,61.16,63.13,1288748,45.7,45.7,44.7,45.5,41700,34.1,34.2,33.91,33.96,97731
2024-11-05,62.44,63.92,62.44,62.74,560724,45.45,45.45,44.8,45.3,42900,33.96,34.05,33.91,34.01,39740
2024-11-06,62.93,63.52,62.54,63.03,680225,45.0,45.75,45.0,45.75,23200,34.01,34.49,34.01,34.49,61605
